,Country,Family,Freedom,GDP per Capita,Generosity,Happiness Rank,Happiness Score,Life Expectancy,Region,Trust (Government Corruption),Year
64,Jamaica,1.1510200000000002,0.50442,0.81038,0.2123,65,5.709,0.6874100000000001,Latin America and Caribbean,0.02299,2015
65,North Cyprus,1.07008,0.49027,1.2080600000000001,0.26169000000000003,66,5.695,0.92356,Western Europe,0.1428,2015
66,Cyprus,0.89318,0.40671999999999997,1.20813,0.30638000000000004,67,5.689,0.92356,Western Europe,0.06146,2015
67,Algeria,1.07772,0.28579,0.93929,0.07822,68,5.605,0.61766,Middle East and Northern Africa,0.17382999999999998,2015
68,Kosovo,0.81198,0.24749000000000002,0.80148,0.2831,69,5.5889999999999995,0.63132,Central and Eastern Europe,0.04741,2015
69,Turkmenistan,1.22668,0.4761,0.95847,0.16979,70,5.547999999999999,0.53886,Central and Eastern Europe,0.30844,2015
70,Mauritius,0.98521,0.56066,1.0076100000000001,0.37744,71,5.477,0.7095,Sub-Saharan Africa,0.07521,2015
71,Hong Kong,1.05818,0.59608,1.38604,0.39478,72,5.474,1.01328,Eastern Asia,0.37124,2015
72,Estonia,1.22791,0.44888,1.15174,0.0868,73,5.428999999999999,0.77361,Central and Eastern Europe,0.15184,2015
73,Indonesia,1.0870799999999998,0.46611,0.8282700000000001,0.51535,74,5.399,0.63793,Southeastern Asia,0.0,2015
74,Vietnam,0.9122600000000001,0.59444,0.63216,0.1686,75,5.36,0.7467600000000001,Southeastern Asia,0.10440999999999999,2015
75,Turkey,0.94632,0.22815,1.06098,0.12253,76,5.332000000000001,0.73172,Middle East and Northern Africa,0.15746,2015
76,Kyrgyzstan,1.15115,0.43477,0.47428000000000003,0.3003,77,5.2860000000000005,0.65088,Central and Eastern Europe,0.042319999999999997,2015
77,Nigeria,0.9043200000000001,0.34334000000000003,0.65435,0.27233,78,5.268,0.16007000000000002,Sub-Saharan Africa,0.0403,2015
78,Bhutan,1.10395,0.5320600000000001,0.77042,0.47998,79,5.252999999999999,0.57407,Southern Asia,0.15445,2015
79,Azerbaijan,0.9379299999999999,0.3703,1.02389,0.07799,80,5.212000000000001,0.64045,Central and Eastern Europe,0.16065,2015
80,Pakistan,0.41411000000000003,0.12102,0.59543,0.33671,81,5.194,0.51466,Southern Asia,0.10464000000000001,2015
81,Jordan,1.05392,0.40660999999999997,0.9019799999999999,0.11052999999999999,82,5.192,0.69639,Middle East and Northern Africa,0.14293,2015
82,Montenegro,0.9055700000000001,0.1826,0.9743799999999999,0.1614,82,5.192,0.72521,Central and Eastern Europe,0.14296,2015
83,China,0.94675,0.5169699999999999,0.89012,0.08185,84,5.14,0.81658,Eastern Asia,0.02781,2015
